tripid,hhid_x,persid,tripno,starthour,startime,arrhour,arrtime,origplace1,origplace2,origpurp1,origpurp2,origlga,destplace1,destplace2,destpurp1,destpurp2,destlga,triptime,travtime,cumdist,linkmode,trippurp,duration,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,time1,time2,time3,time4,time5,time6,time7,time8,time9,dist1,dist2,dist3,dist4,dist5,dist6,dist7,dist8,dist9,trippoststratweight,trippoststratweight_GROUP_1,trippoststratweight_GROUP_2,trippoststratweight_GROUP_3,trippoststratweight_GROUP_4,trippoststratweight_GROUP_5,trippoststratweight_GROUP_6,trippoststratweight_GROUP_7,trippoststratweight_GROUP_8,trippoststratweight_GROUP_9,trippoststratweight_GROUP_10,homesubregion_ASGS,homeregion_ASGS,dayType,start_hour,arr_hour,is_morning_peak,is_evening_peak,is_peak_hour,time_of_day,distance_category,purpose_category,mode_category,duration_category,hhid_y,age_decade,sex,life_stage,household_income,vehicle_availability,zone
Y24H5740109P03T01,Y24H5740109,Y24H5740109P03,1,8,490,8,513,Accommodation,Survey Home,At Home,Go home,Casey (C),Place of education,Secondary School,Education,At school,Casey (C),23,21.0,4.78611,School Bus,Education,407,Walking,School Bus,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3,18,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.21381,4.5723,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,948.719791893,893.143820502,1100.585791815,1030.327605474,966.266946533,1208.473256634,0.0,974.842851834,1117.761835109,857.867891118,1359.779253554,MELB - Outer,Greater Melbourne,Weekday,8.166666666666666,8.55,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Public,Long (20-40],Y24H5740109,10->19,Male,Student,116999.0,Limited,Outer
Y24H5740109P04T01,Y24H5740109,Y24H5740109P04,1,8,490,8,513,Accommodation,Survey Home,At Home,Go home,Casey (C),Place of education,Secondary School,Education,At school,Casey (C),23,21.0,4.78611,School Bus,Education,407,Walking,School Bus,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3,18,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.21381,4.5723,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1976.756688822,1875.167021028,2140.66828216,2437.40033023,2251.539920494,2306.77122019,0.0,2081.823779497,1918.871675981,2080.848293473,2466.873078094,MELB - Outer,Greater Melbourne,Weekday,8.166666666666666,8.55,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Public,Long (20-40],Y24H5740109,10->19,Male,Student,116999.0,Limited,Outer
Y24H5740109P05T01,Y24H5740109,Y24H5740109P05,1,8,490,8,510,Accommodation,Survey Home,At Home,Go home,Casey (C),Place of education,Primary School,Education,At school,Casey (C),20,20.0,0.93423,Walking,Education,420,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,20,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.93423,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,814.365992555,726.177401549,1039.385699658,942.900265338,1100.164244777,945.086867296,0.0,836.540612262,784.443784367,750.641867957,945.462075167,MELB - Outer,Greater Melbourne,Weekday,8.166666666666666,8.5,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Active,Medium (10-20],Y24H5740109,10->19,Female,Student,116999.0,Limited,Outer
Y24H5740131P03T01,Y24H5740131,Y24H5740131P03,1,7,440,8,490,Accommodation,Survey Home,At Home,Go home,Casey (C),Place of education,Secondary School,Education,At school,Monash (C),50,47.0,24.92903,School Bus,Education,455,Walking,School Bus,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7,40,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.45145,24.47758,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,746.800491716,692.810846779,809.400308169,787.963400382,705.391696403,912.535557186,858.966058824,754.107059959,907.083245194,775.63625365,0.0,MELB - Outer,Greater Melbourne,Weekday,7.333333333333333,8.166666666666666,1,0,1,Morning Peak (6-9],Long (20-40],Mandatory,Public,Very Long (40+),Y24H5740131,10->19,Male,Student,220999.0,Limited,Outer
Y24H5740131P04T01,Y24H5740131,Y24H5740131P04,1,6,410,7,420,Accommodation,Survey Home,At Home,Go home,Casey (C),Place of education,Secondary School,Education,At school,Casey (C),10,10.0,1.48545,Vehicle Passenger,Education,480,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1.48545,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1315.567514218,1261.064228965,1557.573939166,1501.833088632,1420.150161685,1512.905945031,1605.619234091,1307.839597215,1492.926597431,1330.744335981,0.0,MELB - Outer,Greater Melbourne,Weekday,6.833333333333333,7.0,0,0,0,Morning Peak (6-9],Short (0-10],Mandatory,Private,Short (0-10],Y24H5740131,10->19,Female,Student,220999.0,Limited,Outer
Y24H5740337P01T01,Y24H5740337,Y24H5740337P01,1,9,540,9,570,Accommodation,Survey Home,At Home,Go home,Stonnington (C),Place of education,Tertiary,Education,At Uni/Tech,Maribyrnong (C),30,30.0,13.90308,Vehicle Driver,Education,210,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,30,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13.90308,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1251.425191934,1628.885907734,0.0,1613.423751084,1157.997952497,1441.63043791,1205.662905498,1277.032697783,1637.439521967,1148.032481525,1090.307938434,MELB - Inner,Greater Melbourne,Weekday,9.0,9.5,1,0,1,Late Morning (9-12],Medium (10-20],Mandatory,Private,Long (20-40],Y24H5740337,20->29,Female,Student,37699.0,Limited,Inner
Y24H5740337P02T01,Y24H5740337,Y24H5740337P02,1,8,480,8,530,Accommodation,Survey Home,At Home,Go home,Stonnington (C),Place of education,Secondary School,Education,At school,Glen Eira (C),50,48.0,13.62768,Train,Education,385,Walking,Train,Walking,Public Bus,Walking,Not applicable,Not applicable,Not applicable,Not applicable,15,13,2,9,9,Not applicable,Not applicable,Not applicable,Not applicable,1.1714,7.41928,0.06167,3.43623,1.5391,Not applicable,Not applicable,Not applicable,Not applicable,646.550865959,684.632257971,0.0,731.05202017,658.075260609,686.459152468,630.823498458,780.063707692,738.697736088,687.139460015,647.737910447,MELB - Inner,Greater Melbourne,Weekday,8.0,8.833333333333334,1,0,1,Morning Peak (6-9],Medium (10-20],Mandatory,Public,Very Long (40+),Y24H5740337,10->19,Female,Student,37699.0,Limited,Inner
Y24H5740340P02T01,Y24H5740340,Y24H5740340P02,1,8,495,8,520,Accommodation,Survey Home,At Home,Go home,Stonnington (C),Place of education,Secondary School,Education,At school,Stonnington (C),25,25.0,2.45053,Walking,Education,385,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,25,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2.45053,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,678.48551527,668.636683557,0.0,882.236410117,717.722380308,833.900903766,673.984693246,815.216694679,793.658648153,705.739435563,620.589982024,MELB - Inner,Greater Melbourne,Weekday,8.25,8.666666666666666,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Active,Long (20-40],Y24H5740340,10->19,Male,Student,46799.0,Limited,Inner
Y24H5740501P03T01,Y24H5740501,Y24H5740501P03,1,8,505,8,510,Accommodation,Survey Home,At Home,Go home,Wyndham (C),Place of education,Primary School,Education,At school,Wyndham (C),5,5.0,0.38306,Walking,Education,420,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.38306,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,358.71152487,399.067066599,510.772773076,0.0,393.887819198,399.681662776,495.616501404,340.531684842,367.407641098,335.678433562,413.46392479,MELB - Outer,Greater Melbourne,Weekday,8.416666666666666,8.5,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Active,Short (0-10],Y24H5740501,0->9,Female,Student,116999.0,Limited,Outer
Y24H5740501P04T01,Y24H5740501,Y24H5740501P04,1,8,505,8,510,Accommodation,Survey Home,At Home,Go home,Wyndham (C),Place of education,Primary School,Education,At school,Wyndham (C),5,5.0,0.38306,Walking,Education,420,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.38306,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,356.730442367,396.537531649,507.856770695,0.0,391.601313171,397.619472042,492.602582169,338.720768493,365.478741316,333.901901876,411.418735718,MELB - Outer,Greater Melbourne,Weekday,8.416666666666666,8.5,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Active,Short (0-10],Y24H5740501,0->9,Female,Student,116999.0,Limited,Outer
