tripid,hhid_x,persid,tripno,starthour,startime,arrhour,arrtime,origplace1,origplace2,origpurp1,origpurp2,origlga,destplace1,destplace2,destpurp1,destpurp2,destlga,triptime,travtime,cumdist,linkmode,trippurp,duration,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,time1,time2,time3,time4,time5,time6,time7,time8,time9,dist1,dist2,dist3,dist4,dist5,dist6,dist7,dist8,dist9,trippoststratweight,trippoststratweight_GROUP_1,trippoststratweight_GROUP_2,trippoststratweight_GROUP_3,trippoststratweight_GROUP_4,trippoststratweight_GROUP_5,trippoststratweight_GROUP_6,trippoststratweight_GROUP_7,trippoststratweight_GROUP_8,trippoststratweight_GROUP_9,trippoststratweight_GROUP_10,homesubregion_ASGS,homeregion_ASGS,dayType,start_hour,arr_hour,is_morning_peak,is_evening_peak,is_peak_hour,time_of_day,distance_category,purpose_category,mode_category,duration_category,hhid_y,age_decade,sex,wfh_category,household_income,vehicle_availability,zone
Y24H5740102P02T01,Y24H5740102,Y24H5740102P02,1,7,455,8,480,Accommodation,Survey Home,At Home,Go home,Casey (C),Place of work,My Workplace,Work Related,Own Workplace,Greater Dandenong (C),25,25.0,12.89117,Vehicle Driver,Work Related,249,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,25,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12.89117,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,652.818030841,640.158011458,713.51426712,910.939336777,634.256722418,845.843572353,0.0,654.419865511,680.66578309,582.226925115,1073.240943576,MELB - Outer,Greater Melbourne,Weekday,7.583333333333333,8.0,1,0,1,Morning Peak (6-9],Medium (10-20],Mandatory,Private,Long (20-40],Y24H5740102,20->29,Male,Never,71499.0,Moderate,Outer
Y24H5740102P02T03,Y24H5740102,Y24H5740102P02,3,12,755,12,758,Entertainment venue,Restaurant or Cafe,Social,Ate or drank,Greater Dandenong (C),Place of work,My Workplace,Work Related,Own Workplace,Greater Dandenong (C),3,3.0,0.47899,Vehicle Driver,Work Related,242,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.47899,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,652.818030841,640.158011458,713.51426712,910.939336777,634.256722418,845.843572353,0.0,654.419865511,680.66578309,582.226925115,1073.240943576,MELB - Outer,Greater Melbourne,Weekday,12.583333333333334,12.633333333333333,0,0,0,Afternoon (12-15],Short (0-10],Mandatory,Private,Short (0-10],Y24H5740102,20->29,Male,Never,71499.0,Moderate,Outer
Y24H5740109P02T01,Y24H5740109,Y24H5740109P02,1,7,450,7,454,Accommodation,Survey Home,At Home,Go home,Casey (C),Place of work,My Workplace,Work Related,Own Workplace,Casey (C),4,4.0,1.33689,Vehicle Driver,Work Related,543,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1.33689,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,760.235357962,674.810449369,1050.547465463,946.876592053,763.30741632,953.232092472,0.0,776.158947923,785.896037773,768.616963531,910.15866419,MELB - Outer,Greater Melbourne,Weekday,7.5,7.566666666666666,1,0,1,Morning Peak (6-9],Short (0-10],Mandatory,Private,Short (0-10],Y24H5740109,40->49,Female,Never,116999.0,Limited,Outer
Y24H5740110P03T01,Y24H5740110,Y24H5740110P03,1,6,395,6,405,Accommodation,Survey Home,At Home,Go home,Casey (C),Place of work,My Workplace,Work Related,Own Workplace,Casey (C),10,10.0,9.42059,Vehicle Passenger,Work Related,504,Vehicle Passenger,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.42059,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,603.756453587,576.219382122,847.041936306,876.067408265,633.186924433,706.676290387,0.0,582.255015446,540.030269288,572.217503578,763.659271269,MELB - Outer,Greater Melbourne,Weekday,6.583333333333333,6.75,0,0,0,Morning Peak (6-9],Short (0-10],Mandatory,Private,Short (0-10],Y24H5740110,20->29,Female,Never,97499.0,Limited,Outer
Y24H5740111P01T01,Y24H5740111,Y24H5740111P01,1,9,560,9,590,Accommodation,Survey Home,At Home,Go home,Casey (C),Place of work,My Workplace,Work Related,Own Workplace,Frankston (C),30,30.0,20.87897,Vehicle Driver,Work Related,405,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,30,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,20.87897,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,348.746406172,333.818655666,434.855817029,442.345614928,305.615372247,394.661901608,0.0,354.864352589,295.391585048,354.382003487,607.118259937,MELB - Outer,Greater Melbourne,Weekday,9.333333333333334,9.833333333333334,0,0,0,Late Morning (9-12],Long (20-40],Mandatory,Private,Long (20-40],Y24H5740111,60->69,Female,Never,220999.0,Moderate,Outer
Y24H5740111P02T02,Y24H5740111,Y24H5740111P02,2,8,515,9,568,Retail venue,Petrol Station,Buy Something,Bought something,Melton (S),Place of work,My Workplace,Work Related,Own Workplace,Ballarat (C),53,53.0,101.58203,Vehicle Driver,Work Related,197,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,53,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,101.58203,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,696.78161167,655.224155053,951.967088237,1015.023199851,844.403718598,810.547360126,0.0,690.202351314,601.344213167,631.888873363,944.775847726,MELB - Outer,Greater Melbourne,Weekday,8.583333333333334,9.466666666666667,1,0,1,Late Morning (9-12],Very Long (40+),Mandatory,Private,Very Long (40+),Y24H5740111,20->29,Female,Frequent,220999.0,Moderate,Outer
Y24H5740111P02T03,Y24H5740111,Y24H5740111P02,3,12,765,12,774,Place of work,My Workplace,Work Related,Own Workplace,Ballarat (C),Place of work,Another workplace or site,Work Related,Employers Business,Ballarat (C),9,9.0,3.60515,Vehicle Driver,Work Related,49,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3.60515,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,696.78161167,655.224155053,951.967088237,1015.023199851,844.403718598,810.547360126,0.0,690.202351314,601.344213167,631.888873363,944.775847726,MELB - Outer,Greater Melbourne,Weekday,12.75,12.9,0,0,0,Afternoon (12-15],Short (0-10],Mandatory,Private,Short (0-10],Y24H5740111,20->29,Female,Frequent,220999.0,Moderate,Outer
Y24H5740111P02T04,Y24H5740111,Y24H5740111P02,4,13,823,13,830,Place of work,Another workplace or site,Work Related,Employers Business,Ballarat (C),Place of work,Another workplace or site,Work Related,Employers Business,Ballarat (C),7,7.0,2.0542,Vehicle Driver,Work Related,30,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2.0542,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,696.78161167,655.224155053,951.967088237,1015.023199851,844.403718598,810.547360126,0.0,690.202351314,601.344213167,631.888873363,944.775847726,MELB - Outer,Greater Melbourne,Weekday,13.716666666666667,13.833333333333334,0,0,0,Afternoon (12-15],Short (0-10],Mandatory,Private,Short (0-10],Y24H5740111,20->29,Female,Frequent,220999.0,Moderate,Outer
Y24H5740119P01T05,Y24H5740119,Y24H5740119P01,5,9,569,10,651,Accommodation,Survey Home,At Home,Go home,Casey (C),Place of work,My Workplace,Work Related,Own Workplace,Melbourne (C),82,73.0,51.61251,Train,Work Related,186,Vehicle Driver,Train,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6,53,14,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3.34288,47.26094,1.00869,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,346.716334742,335.93436581,354.717269276,433.108001479,298.887418396,451.289655851,0.0,348.260777454,332.878367112,332.811893427,668.046676407,MELB - Outer,Greater Melbourne,Weekday,9.483333333333333,10.85,0,0,0,Late Morning (9-12],Very Long (40+),Mandatory,Public,Very Long (40+),Y24H5740119,60->69,Male,Frequent,194999.0,Moderate,Outer
Y24H5740120P01T02,Y24H5740120,Y24H5740120P01,2,9,546,9,565,Retail venue,Supermarket,Buy Something,Bought something,Casey (C),Place of work,My Workplace,Work Related,Own Workplace,Casey (C),19,19.0,13.14107,Vehicle Driver,Work Related,406,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,19,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,13.14107,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,427.276622314,452.483849177,585.067891306,487.368649735,408.642407445,569.481486282,0.0,423.831100769,384.697803295,420.930896486,561.319770081,MELB - Outer,Greater Melbourne,Weekend,9.1,9.416666666666666,0,0,0,Late Morning (9-12],Medium (10-20],Mandatory,Private,Medium (10-20],Y24H5740120,60->69,Female,Never,142999.0,Moderate,Outer
