hhid,persid,jteid,dayType,start_loc,start_stopid,start_time,start_LGA,end_loc,end_stopid,end_time,end_LGA,mainmode_desc_01,mainmode_desc_02,mainmode_desc_03,mainmode_desc_04,mainmode_desc_05,mainmode_desc_06,mainmode_desc_07,mainmode_desc_08,mainmode_desc_09,mainmode_desc_10,mainmode_desc_11,mainmode_desc_12,mainmode_desc_13,mainmode_desc_14,mainmode_desc_15,destpurp1_desc_01,destpurp1_desc_02,destpurp1_desc_03,destpurp1_desc_04,destpurp1_desc_05,destpurp1_desc_06,destpurp1_desc_07,destpurp1_desc_08,destpurp1_desc_09,destpurp1_desc_10,destpurp1_desc_11,destpurp1_desc_12,destpurp1_desc_13,destpurp1_desc_14,destpurp1_desc_15,destplace1_desc_01,destplace1_desc_02,destplace1_desc_03,destplace1_desc_04,destplace1_desc_05,destplace1_desc_06,destplace1_desc_07,destplace1_desc_08,destplace1_desc_09,destplace1_desc_10,destplace1_desc_11,destplace1_desc_12,destplace1_desc_13,destplace1_desc_14,destplace1_desc_15,startime_01,startime_02,startime_03,startime_04,startime_05,startime_06,startime_07,startime_08,startime_09,startime_10,startime_11,startime_12,startime_13,startime_14,startime_15,arrtime_01,arrtime_02,arrtime_03,arrtime_04,arrtime_05,arrtime_06,arrtime_07,arrtime_08,arrtime_09,arrtime_10,arrtime_11,arrtime_12,arrtime_13,arrtime_14,arrtime_15,vistadist_01,vistadist_02,vistadist_03,vistadist_04,vistadist_05,vistadist_06,vistadist_07,vistadist_08,vistadist_09,vistadist_10,vistadist_11,vistadist_12,vistadist_13,vistadist_14,vistadist_15,travtime_01,travtime_02,travtime_03,travtime_04,travtime_05,travtime_06,travtime_07,travtime_08,travtime_09,travtime_10,travtime_11,travtime_12,travtime_13,travtime_14,travtime_15,main_journey_mode,journey_travel_time,journey_distance,journey_elapsed_time,journey_weight,homesubregion_ASGS,homeregion_ASGS
Y24H5740109,Y24H5740109P03,Y24H5740109P03JTE001,Weekday,FROM_HOME,Y24H5740109P03S01,490,Casey (C),TO_EDUCATION,Y24H5740109P03S02,513.0,Casey (C),Walking,School Bus,,,,,,,,,,,,,,Change Mode,Education,,,,,,,,,,,,,,Transport Feature,Place of education,,,,,,,,,,,,,,490.0,495.0,,,,,,,,,,,,,,493.0,513.0,,,,,,,,,,,,,,0.21381,4.5723,,,,,,,,,,,,,,3.0,18.0,,,,,,,,,,,,,,School Bus,21,4.78611,23.0,1404.266673306,MELB - Outer,Greater Melbourne
Y24H5740109,Y24H5740109P04,Y24H5740109P04JTE002,Weekday,FROM_HOME,Y24H5740109P04S01,490,Casey (C),TO_EDUCATION,Y24H5740109P04S02,513.0,Casey (C),Walking,School Bus,,,,,,,,,,,,,,Change Mode,Education,,,,,,,,,,,,,,Transport Feature,Place of education,,,,,,,,,,,,,,490.0,495.0,,,,,,,,,,,,,,493.0,513.0,,,,,,,,,,,,,,0.21381,4.5723,,,,,,,,,,,,,,3.0,18.0,,,,,,,,,,,,,,School Bus,21,4.78611,23.0,2949.606307617,MELB - Outer,Greater Melbourne
Y24H5740109,Y24H5740109P05,Y24H5740109P05JTE003,Weekday,FROM_HOME,Y24H5740109P05S01,490,Casey (C),TO_EDUCATION,Y24H5740109P05S01,510.0,Casey (C),Walking,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,490.0,,,,,,,,,,,,,,,510.0,,,,,,,,,,,,,,,0.93423,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,Walking,20,0.93423,20.0,1165.139175907,MELB - Outer,Greater Melbourne
Y24H5740131,Y24H5740131P03,Y24H5740131P03JTE004,Weekday,FROM_HOME,Y24H5740131P03S01,440,Casey (C),TO_EDUCATION,Y24H5740131P03S02,490.0,Monash (C),Walking,School Bus,,,,,,,,,,,,,,Change Mode,Education,,,,,,,,,,,,,,Transport Feature,Place of education,,,,,,,,,,,,,,440.0,450.0,,,,,,,,,,,,,,447.0,490.0,,,,,,,,,,,,,,0.45145,24.47758,,,,,,,,,,,,,,7.0,40.0,,,,,,,,,,,,,,School Bus,47,24.92903,50.0,1099.835321362,MELB - Outer,Greater Melbourne
Y24H5740131,Y24H5740131P04,Y24H5740131P04JTE005,Weekday,FROM_HOME,Y24H5740131P04S01,410,Casey (C),TO_EDUCATION,Y24H5740131P04S01,420.0,Casey (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,410.0,,,,,,,,,,,,,,,420.0,,,,,,,,,,,,,,,1.48545,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,Vehicle Passenger,10,1.48545,10.0,1937.859267351,MELB - Outer,Greater Melbourne
Y24H5740337,Y24H5740337P01,Y24H5740337P01JTE006,Weekday,FROM_HOME,Y24H5740337P01S01,540,Stonnington (C),TO_EDUCATION,Y24H5740337P01S01,570.0,Maribyrnong (C),Vehicle Driver,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,540.0,,,,,,,,,,,,,,,570.0,,,,,,,,,,,,,,,13.90308,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,Vehicle Driver,30,13.90308,30.0,1730.781281112,MELB - Inner,Greater Melbourne
Y24H5740337,Y24H5740337P02,Y24H5740337P02JTE007,Weekday,FROM_HOME,Y24H5740337P02S01,480,Stonnington (C),TO_EDUCATION,Y24H5740337P02S05,530.0,Glen Eira (C),Walking,Train,Walking,Public Bus,Walking,,,,,,,,,,,Change Mode,Change Mode,Change Mode,Change Mode,Education,,,,,,,,,,,Transport Feature,Transport Feature,Transport Feature,Transport Feature,Place of education,,,,,,,,,,,480.0,497.0,510.0,512.0,521.0,,,,,,,,,,,495.0,510.0,512.0,521.0,530.0,,,,,,,,,,,1.1714,7.41928,0.06167,3.43623,1.5391,,,,,,,,,,,15.0,13.0,2.0,9.0,9.0,,,,,,,,,,,Train,48,13.627679999999998,50.0,646.550865959,MELB - Inner,Greater Melbourne
Y24H5740340,Y24H5740340P02,Y24H5740340P02JTE008,Weekday,FROM_HOME,Y24H5740340P02S01,495,Stonnington (C),TO_EDUCATION,Y24H5740340P02S01,520.0,Stonnington (C),Walking,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,495.0,,,,,,,,,,,,,,,520.0,,,,,,,,,,,,,,,2.45053,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,Walking,25,2.45053,25.0,1008.253901433,MELB - Inner,Greater Melbourne
Y24H5740501,Y24H5740501P03,Y24H5740501P03JTE009,Weekday,FROM_HOME,Y24H5740501P03S01,505,Wyndham (C),TO_EDUCATION,Y24H5740501P03S01,510.0,Wyndham (C),Walking,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,505.0,,,,,,,,,,,,,,,510.0,,,,,,,,,,,,,,,0.38306,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,Walking,5,0.38306,5.0,517.335691331,MELB - Outer,Greater Melbourne
Y24H5740501,Y24H5740501P04,Y24H5740501P04JTE010,Weekday,FROM_HOME,Y24H5740501P04S01,505,Wyndham (C),TO_EDUCATION,Y24H5740501P04S01,510.0,Wyndham (C),Walking,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,505.0,,,,,,,,,,,,,,,510.0,,,,,,,,,,,,,,,0.38306,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,Walking,5,0.38306,5.0,517.335691331,MELB - Outer,Greater Melbourne
