hhid,persid,jtwid,dayType,start_loc,start_stopid,start_time,start_LGA,end_loc,end_stopid,end_time,end_LGA,mainmode_desc_01,mainmode_desc_02,mainmode_desc_03,mainmode_desc_04,mainmode_desc_05,mainmode_desc_06,mainmode_desc_07,mainmode_desc_08,mainmode_desc_09,mainmode_desc_10,mainmode_desc_11,mainmode_desc_12,mainmode_desc_13,mainmode_desc_14,mainmode_desc_15,destpurp1_desc_01,destpurp1_desc_02,destpurp1_desc_03,destpurp1_desc_04,destpurp1_desc_05,destpurp1_desc_06,destpurp1_desc_07,destpurp1_desc_08,destpurp1_desc_09,destpurp1_desc_10,destpurp1_desc_11,destpurp1_desc_12,destpurp1_desc_13,destpurp1_desc_14,destpurp1_desc_15,destplace1_desc_01,destplace1_desc_02,destplace1_desc_03,destplace1_desc_04,destplace1_desc_05,destplace1_desc_06,destplace1_desc_07,destplace1_desc_08,destplace1_desc_09,destplace1_desc_10,destplace1_desc_11,destplace1_desc_12,destplace1_desc_13,destplace1_desc_14,destplace1_desc_15,startime_01,startime_02,startime_03,startime_04,startime_05,startime_06,startime_07,startime_08,startime_09,startime_10,startime_11,startime_12,startime_13,startime_14,startime_15,arrtime_01,arrtime_02,arrtime_03,arrtime_04,arrtime_05,arrtime_06,arrtime_07,arrtime_08,arrtime_09,arrtime_10,arrtime_11,arrtime_12,arrtime_13,arrtime_14,arrtime_15,vistadist_01,vistadist_02,vistadist_03,vistadist_04,vistadist_05,vistadist_06,vistadist_07,vistadist_08,vistadist_09,vistadist_10,vistadist_11,vistadist_12,vistadist_13,vistadist_14,vistadist_15,travtime_01,travtime_02,travtime_03,travtime_04,travtime_05,travtime_06,travtime_07,travtime_08,travtime_09,travtime_10,travtime_11,travtime_12,travtime_13,travtime_14,travtime_15,main_journey_mode,journey_travel_time,journey_distance,journey_elapsed_time,journey_weight,homesubregion_ASGS,homeregion_ASGS
Y24H5740102,Y24H5740102P02,Y24H5740102P02JTW0001,Weekday,FROM_HOME,Y24H5740102P02S01,455,Casey (C),TO_WORK,Y24H5740102P02S01,480.0,Greater Dandenong (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,455.0,,,,,,,,,,,,,,,480.0,,,,,,,,,,,,,,,12.89117,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,Vehicle Driver,25,12.89117,25.0,652.818030841,MELB - Outer,Greater Melbourne
Y24H5740109,Y24H5740109P02,Y24H5740109P02JTW0002,Weekday,FROM_HOME,Y24H5740109P02S01,450,Casey (C),TO_WORK,Y24H5740109P02S01,454.0,Casey (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,450.0,,,,,,,,,,,,,,,454.0,,,,,,,,,,,,,,,1.33689,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,Vehicle Driver,4,1.33689,4.0,760.235357962,MELB - Outer,Greater Melbourne
Y24H5740110,Y24H5740110P03,Y24H5740110P03JTW0003,Weekday,FROM_HOME,Y24H5740110P03S01,395,Casey (C),TO_WORK,Y24H5740110P03S01,405.0,Casey (C),Vehicle Passenger,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,395.0,,,,,,,,,,,,,,,405.0,,,,,,,,,,,,,,,9.42059,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,Vehicle Passenger,10,9.42059,10.0,603.756453587,MELB - Outer,Greater Melbourne
Y24H5740111,Y24H5740111P01,Y24H5740111P01JTW0004,Weekday,FROM_HOME,Y24H5740111P01S01,560,Casey (C),TO_WORK,Y24H5740111P01S01,590.0,Frankston (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,560.0,,,,,,,,,,,,,,,590.0,,,,,,,,,,,,,,,20.87897,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,Vehicle Driver,30,20.87897,30.0,348.746406172,MELB - Outer,Greater Melbourne
Y24H5740111,Y24H5740111P02,Y24H5740111P02JTW0005,Weekday,FROM_HOME,Y24H5740111P02S01,421,Casey (C),TO_WORK,Y24H5740111P02S02,568.0,Ballarat (C),Vehicle Driver,Vehicle Driver,,,,,,,,,,,,,,Buy Something,Work Related,,,,,,,,,,,,,,Retail venue,Place of work,,,,,,,,,,,,,,421.0,515.0,,,,,,,,,,,,,,508.0,568.0,,,,,,,,,,,,,,87.50492,101.58203,,,,,,,,,,,,,,87.0,53.0,,,,,,,,,,,,,,Vehicle Driver,140,189.08695,147.0,696.78161167,MELB - Outer,Greater Melbourne
Y24H5740119,Y24H5740119P01,Y24H5740119P01JTW0006,Weekday,FROM_HOME,Y24H5740119P01S05,569,Casey (C),TO_WORK,Y24H5740119P01S07,651.0,Melbourne (C),Vehicle Driver,Train,Walking,,,,,,,,,,,,,Change Mode,Change Mode,Work Related,,,,,,,,,,,,,Transport Feature,Transport Feature,Place of work,,,,,,,,,,,,,569.0,580.0,637.0,,,,,,,,,,,,,575.0,633.0,651.0,,,,,,,,,,,,,3.34288,47.26094,1.00869,,,,,,,,,,,,,6.0,53.0,14.0,,,,,,,,,,,,,Train,73,51.61251,82.0,346.716334742,MELB - Outer,Greater Melbourne
Y24H5740120,Y24H5740120P01,Y24H5740120P01JTW0007,Weekend,FROM_HOME,Y24H5740120P01S01,537,Casey (C),TO_WORK,Y24H5740120P01S02,565.0,Casey (C),Vehicle Driver,Vehicle Driver,,,,,,,,,,,,,,Buy Something,Work Related,,,,,,,,,,,,,,Retail venue,Place of work,,,,,,,,,,,,,,537.0,546.0,,,,,,,,,,,,,,543.0,565.0,,,,,,,,,,,,,,2.25009,13.14107,,,,,,,,,,,,,,6.0,19.0,,,,,,,,,,,,,,Vehicle Driver,25,15.39116,28.0,427.276622314,MELB - Outer,Greater Melbourne
Y24H5740123,Y24H5740123P01,Y24H5740123P01JTW0008,Weekday,FROM_HOME,Y24H5740123P01S01,486,Casey (C),TO_WORK,Y24H5740123P01S02,510.0,Greater Dandenong (C),Vehicle Driver,Vehicle Driver,,,,,,,,,,,,,,Buy Something,Work Related,,,,,,,,,,,,,,Retail venue,Place of work,,,,,,,,,,,,,,486.0,502.0,,,,,,,,,,,,,,499.0,510.0,,,,,,,,,,,,,,7.46789,4.96878,,,,,,,,,,,,,,13.0,8.0,,,,,,,,,,,,,,Vehicle Driver,21,12.43667,24.0,433.329068446,MELB - Outer,Greater Melbourne
Y24H5740129,Y24H5740129P03,Y24H5740129P03JTW0009,Weekday,FROM_HOME,Y24H5740129P03S01,491,Casey (C),TO_WORK,Y24H5740129P03S01,532.0,Manningham (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,491.0,,,,,,,,,,,,,,,532.0,,,,,,,,,,,,,,,42.83731,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,Vehicle Driver,41,42.83731,41.0,734.497298419,MELB - Outer,Greater Melbourne
Y24H5740129,Y24H5740129P03,Y24H5740129P03JTW0010,Weekday,FROM_HOME,Y24H5740129P03S10,1100,Casey (C),TO_WORK,Y24H5740129P03S10,1111.0,Casey (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,1100.0,,,,,,,,,,,,,,,1111.0,,,,,,,,,,,,,,,8.61913,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,Vehicle Driver,11,8.61913,11.0,734.497298419,MELB - Outer,Greater Melbourne
